# The town of Couiza, which GK3 never modelled.
#
# GENERATED by tools/blender/build_couiza.py. Edit the layout there, not here.
#
# TR1 is called Couiza and written as a town -- Gabriel's own line on the buildings is
# "I'm not sure what all these buildings are, but I don't think they're connected to the
# station" -- and what was built is eleven boxes on open grass, in the half-timbered kit
# Sierra made for Rennes-les-Bains. Every line below adds a building, a wall or a tree
# outside the walk bitmap and outside the camera's shell, out of the Languedoc masonry
# the game already carries for Rennes-le-Chateau. Nothing that shipped is moved or
# repainted.
#
# This is not cut content and is not in CutContent.txt: nobody at Sierra wrote, recorded
# or modelled it. It is applied only when the geometry it names is actually present --
# see SceneDressing -- so an installation without the enhanced content packs is exactly
# the game as it shipped, with no diagnostics about models that are not there.
#
#   append <FILE.SIF> <SECTION> <LINE>
#
# `append` rather than `place`, because a facade wants the line written out in full: the
# type, the noun, and a pos with a heading. It is idempotent -- a line already in the
# section is left alone -- and it does nothing at all if the section is not there.
#
# type=prop, and it has to be. GK3's `type=scene` does not mean "part of the scenery": it
# means the name refers to an object already inside the room's BSP, and only `prop` and
# `gasprop` load a model file at all (SceneLoader.IsBakedIn). A facade declared
# `type=scene` is declared, counted, and never drawn.
#
# y is sampled off tr1_floor, so it is the ground the room actually has. pos means
# "stand here": the model is centred on the point in X and Z with its lowest point at Y.
#
# Every building answers to OTR_BUILDINGS, which TR1_ALL.NVC already gives a LOOK rule
# and a recorded line, so the town needs no dialogue of its own.

[FACADES]
append TR1.SIF MODELS model=RBN_CZ_OLD2, noun=OTR_BUILDINGS, type=prop, pos={1797,26.3,-1920}, heading=253
append TR1.SIF MODELS model=RBN_CZ_STUCCO, noun=OTR_BUILDINGS, type=prop, pos={1045,24.1,-1934}, heading=73
append TR1.SIF MODELS model=RBN_CZ_COTTAGE, noun=OTR_BUILDINGS, type=prop, pos={1653,-36.1,1545}, heading=262
append TR1.SIF MODELS model=RBN_CZ_SMALL, noun=OTR_BUILDINGS, type=prop, pos={1005,-27.9,1381}, heading=82
append TR1.SIF MODELS model=RBN_CZ_SMALL2, noun=OTR_BUILDINGS, type=prop, pos={964,-30.2,1941}, heading=88
append TR1.SIF MODELS model=RBN_CZ_OLD3, noun=OTR_BUILDINGS, type=prop, pos={1880,7.7,-364}, heading=180
append TR1.SIF MODELS model=RBN_CZ_OLD3_01, noun=OTR_BUILDINGS, type=prop, pos={1772,4.2,1003}, heading=358
append TR1.SIF MODELS model=RBN_CZ_OLD3_02, noun=OTR_BUILDINGS, type=prop, pos={2190,60.8,-1692}, heading=253
append TR1.SIF MODELS model=RBN_CZ_SMALL2_01, noun=OTR_BUILDINGS, type=prop, pos={2202,54.8,-1339}, heading=265
append TR1.SIF MODELS model=RBN_CZ_OLD3_03, noun=OTR_BUILDINGS, type=prop, pos={2168,60.0,-1000}, heading=270
append TR1.SIF MODELS model=RBN_CZ_HOUSE1, noun=OTR_BUILDINGS, type=prop, pos={1805,-3.6,150}, heading=180
append TR1.SIF MODELS model=RBN_CZ_OLD2_01, noun=OTR_BUILDINGS, type=prop, pos={2016,1.3,535}, heading=358
append TR1.SIF MODELS model=RBN_CZ_HOUSE1_01, noun=OTR_BUILDINGS, type=prop, pos={569,-19.3,1085}, heading=82
append TR1.SIF MODELS model=RBN_CZ_OLD3_04, noun=OTR_BUILDINGS, type=prop, pos={584,-24.5,1465}, heading=81
append TR1.SIF MODELS model=RBN_CZ_COTTAGE_01, noun=OTR_BUILDINGS, type=prop, pos={483,-31.5,1833}, heading=81
append TR1.SIF MODELS model=RBN_CZ_CROSSING, noun=OTR_BUILDINGS, type=prop, pos={-271,-8.5,-1080}, heading=0
append TR1.SIF MODELS model=RBN_CZ_CROSSKEEP, noun=OTR_BUILDINGS, type=prop, pos={150,-8.1,-1230}, heading=0
append TR1.SIF MODELS model=RBN_CZ_BENCH2, noun=OTR_BUILDINGS, type=prop, pos={1075,20.6,-552}, heading=180
append TR1.SIF MODELS model=RBN_CZ_BIN, noun=OTR_BUILDINGS, type=prop, pos={1125,22.1,-552}, heading=0

[TREES]
# Foliage cards, and they carry no pos on purpose: each one is authored at
# the coordinates it stands at, because the modelled-tree pass measures a
# card and grows a tree carrying its own transform, and a model the tree
# pass has claimed never consults pos. TR1's own seventeen are built the
# same way. type=prop matches those seventeen; no noun, because a tree in
# this room is scenery and has never had one.
append TR1.SIF MODELS model=RBN_CZ_ROAD01, type=decal
append TR1.SIF MODELS model=RBN_CZ_ROAD02, type=decal
append TR1.SIF MODELS model=RBN_CZ_ROAD03, type=decal
append TR1.SIF MODELS model=RBN_CZ_ROAD04, type=decal
append TR1.SIF MODELS model=RBN_CZ_ROAD05, type=decal
append TR1.SIF MODELS model=RBN_CZ_ROAD06, type=decal
append TR1.SIF MODELS model=RBN_CZ_ROAD07, type=decal
append TR1.SIF MODELS model=RBN_CZ_ROAD08, type=decal
append TR1.SIF MODELS model=RBN_CZ_ROAD09, type=decal
append TR1.SIF MODELS model=RBN_CZ_APRON01, type=decal
append TR1.SIF MODELS model=RBN_CZ_APRON02, type=decal
append TR1.SIF MODELS model=RBN_CZ_TREE01, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE02, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE03, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE04, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE05, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE06, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE07, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE08, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE09, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE10, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE11, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE12, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE13, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE14, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE15, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE16, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE17, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE18, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE19, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE20, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE21, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE22, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE23, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE24, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE25, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE26, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE27, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE28, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE29, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE30, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE31, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE32, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE33, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE34, type=prop
append TR1.SIF MODELS model=RBN_CZ_TREE35, type=prop

[RL1_GROUND]
# Rennes-les-Bains, extended.
#
# GENERATED by tools/blender/build_rl1.py. Edit the layout there, not here.
#
# RL1 is a spa town with eight buildings on one street and grass to the edge of the map on
# both sides of it. These lines add the ground for a town, two quarters of houses on it,
# and a metalled road along the track the floor already carries -- all of it outside the
# walk bitmap and outside RL1CAMERABOUNDS, and all of it built from RL1's own eight
# buildings, so the new streets are the same half-timbered kit as the old one. Nothing
# that shipped is moved or repainted.
#
# Applied only when the geometry it names is installed -- see SceneDressing -- so an
# installation without the enhanced packs is exactly the game as it shipped.
#
# type=decal, which is this port's own: it loads and draws like a prop and ScenePicker
# skips it. Ground and road both have to be one. A prop swallows the click that would have
# walked the player, because SceneInteraction.FloorTarget only walks him when the pick is
# the floor object by name -- and an actor takes his height from the floor mesh, so a
# second ground he could stand on is a second answer to a question that has one.
append RL1.SIF MODELS model=RBN_RB_GROUND01, type=decal
append RL1.SIF MODELS model=RBN_RB_GROUND02, type=decal
append RL1.SIF MODELS model=RBN_RB_GROUND03, type=decal
append RL1.SIF MODELS model=RBN_RB_GROUND04, type=decal

[RL1_ROADS]
append RL1.SIF MODELS model=RBN_RB_ROAD01, type=decal
append RL1.SIF MODELS model=RBN_RB_ROAD02, type=decal
append RL1.SIF MODELS model=RBN_RB_ROAD03, type=decal
